Stopword;Language;English translation;Source
themselves;ENGLISH;reflexive;stopwords-original.csv
ainda;PORTUGUESE;still, yet;stopwords-new-PT-20110831.csv
jener;GERMAN;;stopwords-original.csv
vuestros;SPANISH;;stopwords-original.csv
jenes;GERMAN;;stopwords-original.csv
tuviste;SPANISH;;stopwords-original.csv
they'll;ENGLISH;;stopwords-original.csv
tivessem;PORTUGUESE;;stopwords-original.csv
debaixo;PORTUGUESE;under;stopwords-new-PT-20110831.csv
hänet;FINNISH;he she;stopwords-original.csv
eram;PORTUGUESE;;stopwords-original.csv
eran;SPANISH;;stopwords-original.csv
tivesses;PORTUGUESE;;stopwords-new-PT-20110831.csv
eras;SPANISH|PORTUGUESE;|;stopwords-original.csv|stopwords-new-PT-20110831.csv
keissä;FINNISH;(pl);stopwords-original.csv
disso;PORTUGUESE;de + isso;stopwords-new-PT-20110831.csv
sillä;FINNISH;it;stopwords-original.csv
estéis;SPANISH;;stopwords-original.csv
hänen;FINNISH;he she;stopwords-original.csv
ἐμόσ;GREEK;;stopwords-original.csv
honom;SWEDISH;him;stopwords-original.csv
seríais;SPANISH;;stopwords-original.csv
angående;SWEDISH;;stopwords-new-SW-20111107.csv
noissa;FINNISH;those;stopwords-original.csv
own;ENGLISH;;stopwords-original.csv
tuas;PORTUGUESE;;stopwords-original.csv
seríeis;PORTUGUESE;;stopwords-new-PT-20110831.csv
keistä;FINNISH;(pl);stopwords-original.csv
kenessä;FINNISH;who;stopwords-original.csv
nunca;PORTUGUESE;never;stopwords-new-PT-20110831.csv
estuvimos;SPANISH;;stopwords-original.csv
solcher;GERMAN;;stopwords-original.csv
solches;GERMAN;;stopwords-original.csv
fueses;SPANISH;;stopwords-original.csv
lucka;SWEDISH;;stopwords-new-SW-20111107.csv
estáis;SPANISH;;stopwords-original.csv
fuesen;SPANISH;;stopwords-original.csv
haja;PORTUGUESE;;stopwords-original.csv
noista;FINNISH;those;stopwords-original.csv
heillä;FINNISH;they;stopwords-original.csv
estivera;PORTUGUESE;;stopwords-original.csv
tenhais;PORTUGUESE;;stopwords-new-PT-20110831.csv
fus;FRENCH;;stopwords-original.csv
fut;FRENCH;;stopwords-original.csv
houverdes;PORTUGUESE;;stopwords-new-PT-20110831.csv
kenestä;FINNISH;who;stopwords-original.csv
οὔτε;GREEK;;stopwords-original.csv
outra;PORTUGUESE;other;stopwords-new-PT-20110831.csv
ὅσ;GREEK;;stopwords-original.csv
habréis;SPANISH;;stopwords-original.csv
quaisquer;PORTUGUESE;any;stopwords-new-PT-20110831.csv
tuon;FINNISH;that;stopwords-original.csv
solchen;GERMAN;;stopwords-original.csv
solchem;GERMAN;;stopwords-original.csv
varför;SWEDISH;why;stopwords-original.csv
estuve;SPANISH;;stopwords-original.csv
both;ENGLISH;;stopwords-original.csv
tudo;PORTUGUESE;all;stopwords-new-PT-20110831.csv
hade;SWEDISH;had;stopwords-original.csv
ἄρα;GREEK;;stopwords-original.csv
after;ENGLISH;;stopwords-original.csv
altijd;DUTCH;always;stopwords-original.csv
minkä;FINNISH;which what;stopwords-original.csv
tivera;PORTUGUESE;;stopwords-original.csv
tuosta;FINNISH;that;stopwords-original.csv
inneh;SWEDISH;;stopwords-new-SW-20111107.csv
what's;ENGLISH;;stopwords-original.csv
fue;SPANISH;;stopwords-original.csv
seamos;SPANISH;;stopwords-original.csv
tuve;SPANISH;;stopwords-original.csv
fui;PORTUGUESE|SPANISH;|;stopwords-original.csv
tuvo;SPANISH;;stopwords-original.csv
that;ENGLISH;;stopwords-original.csv
estuvo;SPANISH;;stopwords-original.csv
indem;GERMAN;while;stopwords-original.csv
zum;GERMAN;zu + dem;stopwords-original.csv
than;ENGLISH;;stopwords-original.csv
sua;PORTUGUESE;her;stopwords-original.csv
oss;SWEDISH;us;stopwords-original.csv
olisivat;FINNISH;;stopwords-original.csv
about;ENGLISH;;stopwords-original.csv
keiltä;FINNISH;(pl);stopwords-original.csv
estuviésemos;SPANISH;;stopwords-original.csv
disto;PORTUGUESE;de + isto;stopwords-new-PT-20110831.csv
sus;SPANISH;su plural;stopwords-original.csv
sur;FRENCH;on;stopwords-original.csv
heille;FINNISH;they;stopwords-original.csv
jedes;GERMAN;;stopwords-original.csv
jeder;GERMAN;;stopwords-original.csv
above;ENGLISH;;stopwords-original.csv
tiverdes;PORTUGUESE;;stopwords-new-PT-20110831.csv
jeden;GERMAN;;stopwords-original.csv
jedem;GERMAN;;stopwords-original.csv
ihnen;GERMAN;to them;stopwords-original.csv
hänelle;FINNISH;he she;stopwords-original.csv
meines;GERMAN;;stopwords-original.csv
meinem;GERMAN;;stopwords-original.csv
jenen;GERMAN;;stopwords-original.csv
tuviésemos;SPANISH;;stopwords-original.csv
tenía;SPANISH;;stopwords-original.csv
jenem;GERMAN;;stopwords-original.csv
algum;PORTUGUESE;some;stopwords-new-PT-20110831.csv
tuossa;FINNISH;that;stopwords-original.csv
μετά;GREEK;;stopwords-original.csv
our;ENGLISH;possessive adjective;stopwords-original.csv
out;ENGLISH;;stopwords-original.csv
tai;FINNISH;or;stopwords-original.csv
tal;PORTUGUESE;such;stopwords-new-PT-20110831.csv
kartong;SWEDISH;;stopwords-new-SW-20111107.csv
tuya;SPANISH;;stopwords-original.csv
ὅστισ;GREEK;;stopwords-original.csv
foi;PORTUGUESE;;stopwords-original.csv
fol;SWEDISH;;stopwords-new-SW-20111107.csv
flera;SWEDISH;;stopwords-new-SW-20111107.csv
cual;SPANISH;who;stopwords-original.csv
wenn;GERMAN;when;stopwords-original.csv
över;SWEDISH;over;stopwords-original.csv
tuyo;SPANISH;thine;stopwords-original.csv
fuera;SPANISH;;stopwords-original.csv
vid;SWEDISH;at, by, on (also: vast);stopwords-original.csv
für;GERMAN;for;stopwords-original.csv
ook;DUTCH;also, too;stopwords-original.csv
kan;DUTCH|SWEDISH;noun 'can' and present form of 'to be able'|can;stopwords-original.csv
pouca;PORTUGUESE;few;stopwords-new-PT-20110831.csv
why's;ENGLISH;;stopwords-original.csv
dessa;SWEDISH;these/those;stopwords-original.csv
heiltä;FINNISH;they;stopwords-original.csv
desse;PORTUGUESE;de + esse;stopwords-new-PT-20110831.csv
haar;DUTCH;(1) her, their, them, (2) hair;stopwords-original.csv
keille;FINNISH;(pl);stopwords-original.csv
pouco;PORTUGUESE;few;stopwords-new-PT-20110831.csv
teihin;FINNISH;you;stopwords-original.csv
they've;ENGLISH;;stopwords-original.csv
habe;GERMAN;have;stopwords-original.csv
había;SPANISH;;stopwords-original.csv
want;DUTCH;(1) for, (2) mitten, (3) rigging;stopwords-original.csv
desta;PORTUGUESE;de + esta;stopwords-new-PT-20110831.csv
leurs;FRENCH;their (pl);stopwords-original.csv
teidät;FINNISH;you;stopwords-original.csv
teille;FINNISH;you;stopwords-original.csv
depois;PORTUGUESE;after;stopwords-original.csv
teidän;FINNISH;you;stopwords-original.csv
näiksi;FINNISH;these;stopwords-original.csv
tuviera;SPANISH;;stopwords-original.csv
fuese;SPANISH;;stopwords-original.csv
acerca;PORTUGUESE;about;stopwords-new-PT-20110831.csv
dies;GERMAN;this;stopwords-original.csv
ordnade;SWEDISH;;stopwords-new-SW-20111107.csv
sommes;FRENCH;;stopwords-original.csv
sinulta;FINNISH;you;stopwords-original.csv
oli;FINNISH;;stopwords-original.csv
quels;FRENCH;which;stopwords-original.csv
ole;FINNISH;negative form;stopwords-original.csv
heitä;FINNISH;they;stopwords-original.csv
were;ENGLISH;past;stopwords-original.csv
werd;DUTCH;imperfect third person sing. of 'become';stopwords-original.csv
κατά;GREEK;;stopwords-original.csv
tendrá;SPANISH;;stopwords-original.csv
terei;PORTUGUESE;;stopwords-original.csv
tendré;SPANISH;;stopwords-original.csv
näissä;FINNISH;these;stopwords-original.csv
wird;GERMAN;will;stopwords-original.csv
votre;FRENCH;your;stopwords-original.csv
tivermos;PORTUGUESE;;stopwords-original.csv
meitä;FINNISH;we;stopwords-original.csv
resp;SWEDISH;;stopwords-new-SW-20111107.csv
sille;FINNISH;it;stopwords-original.csv
estuvieseis;SPANISH;;stopwords-original.csv
keillä;FINNISH;(pl);stopwords-original.csv
esteve;PORTUGUESE;;stopwords-original.csv
haben;GERMAN;have;stopwords-original.csv
vol;SWEDISH;;stopwords-new-SW-20111107.csv
för;SWEDISH;for;stopwords-original.csv|stopwords-new-SW-20111107.csv
lhes;PORTUGUESE;to them;stopwords-original.csv
ons;DUTCH;us/our;stopwords-original.csv
von;GERMAN;from;stopwords-original.csv
during;ENGLISH;;stopwords-original.csv
vom;GERMAN;von + dem;stopwords-original.csv
entre;PORTUGUESE|SPANISH;between|between;stopwords-original.csv
fuisteis;SPANISH;;stopwords-original.csv
vos;FRENCH|PORTUGUESE;your (pl)|you;stopwords-original.csv
they're;ENGLISH;;stopwords-original.csv
weren't;ENGLISH;;stopwords-original.csv
dich;GERMAN;thee;stopwords-original.csv
with;ENGLISH;;stopwords-original.csv
hajamos;PORTUGUESE;;stopwords-original.csv
vaikka;FINNISH;although;stopwords-original.csv
estivéramos;PORTUGUESE;;stopwords-original.csv
teria;PORTUGUESE;;stopwords-original.csv
minha;PORTUGUESE;my;stopwords-original.csv
näistä;FINNISH;these;stopwords-original.csv
minuun;FINNISH;I;stopwords-original.csv
muitos;PORTUGUESE;many;stopwords-new-PT-20110831.csv
he'd;ENGLISH;;stopwords-original.csv
poucos;PORTUGUESE;few;stopwords-new-PT-20110831.csv
joksi;FINNISH;who which;stopwords-original.csv
tendrías;SPANISH;;stopwords-original.csv
tenhamos;PORTUGUESE;;stopwords-original.csv
tendrían;SPANISH;;stopwords-original.csv
eussions;FRENCH;;stopwords-original.csv
tens;PORTUGUESE;;stopwords-new-PT-20110831.csv
tivemos;PORTUGUESE;;stopwords-original.csv
näihin;FINNISH;these;stopwords-original.csv
these;ENGLISH;;stopwords-original.csv
tallä;FINNISH;this;stopwords-original.csv
bist;GERMAN;art;stopwords-original.csv
tienen;SPANISH;;stopwords-original.csv
erais;SPANISH;;stopwords-original.csv
τόν;GREEK;;stopwords-original.csv
tienes;SPANISH;;stopwords-original.csv
joiden;FINNISH;(pl);stopwords-original.csv
he's;ENGLISH;;stopwords-original.csv
unses;GERMAN;;stopwords-original.csv
unser;GERMAN;;stopwords-original.csv
herself;ENGLISH;reflexive;stopwords-original.csv
each;ENGLISH;;stopwords-original.csv
daquele;PORTUGUESE;de + aquele;stopwords-new-PT-20110831.csv
unsen;GERMAN;;stopwords-original.csv
fûmes;FRENCH;;stopwords-original.csv
unsem;GERMAN;;stopwords-original.csv
bij;DUTCH;(1) a bee, (2) by, near, at;stopwords-original.csv
sich;GERMAN;herself;stopwords-original.csv
consigo;PORTUGUESE;with you;stopwords-new-PT-20110831.csv
então;PORTUGUESE;then, so;stopwords-new-PT-20110831.csv
nosotros;SPANISH;we;stopwords-original.csv
mancher;GERMAN;;stopwords-original.csv
ketä;FINNISH;who;stopwords-original.csv
manchem;GERMAN;;stopwords-original.csv
tinheis;PORTUGUESE;;stopwords-new-PT-20110831.csv
hebben;DUTCH;'to have' and various parts thereof;stopwords-original.csv
sido;SPANISH;;stopwords-original.csv
καί;GREEK;;stopwords-original.csv
hajas;PORTUGUESE;;stopwords-new-PT-20110831.csv
bli;SWEDISH;to be, become;stopwords-original.csv
omdat;DUTCH;because;stopwords-original.csv
till;SWEDISH;to;stopwords-original.csv|stopwords-new-SW-20111107.csv
heeft;DUTCH;present third person sing. of 'to have';stopwords-original.csv
vem;SWEDISH;who;stopwords-original.csv
sådan;SWEDISH;such a;stopwords-original.csv
näiltä;FINNISH;these;stopwords-original.csv
olemme;FINNISH;;stopwords-original.csv
you'd;ENGLISH;;stopwords-original.csv
har;SWEDISH;have;stopwords-original.csv|stopwords-new-SW-20111107.csv
havemos;PORTUGUESE;;stopwords-original.csv
algunas;SPANISH;some;stopwords-original.csv
sådana;SWEDISH;such a;stopwords-original.csv
siitä;FINNISH;it;stopwords-original.csv
habrían;SPANISH;;stopwords-original.csv
band;SWEDISH;;stopwords-new-SW-20111107.csv
hinter;GERMAN;behind;stopwords-original.csv
houvésseis;PORTUGUESE;;stopwords-new-PT-20110831.csv
hajam;PORTUGUESE;;stopwords-original.csv
habrías;SPANISH;;stopwords-original.csv
sådant;SWEDISH;such a;stopwords-original.csv
had;DUTCH|ENGLISH;had, past tense all persons sing. of 'hebben' (have)|past;stopwords-original.csv
fussions;FRENCH;;stopwords-original.csv
fordes;PORTUGUESE;;stopwords-new-PT-20110831.csv
eines;GERMAN;;stopwords-original.csv
einen;GERMAN;;stopwords-original.csv
pelos;PORTUGUESE;per + os;stopwords-original.csv
dat;DUTCH;that, which;stopwords-original.csv
täksi;FINNISH;this;stopwords-original.csv
kenenä;FINNISH;who;stopwords-original.csv
dan;DUTCH;then;stopwords-original.csv
während;GERMAN;while;stopwords-original.csv
hay;SPANISH;there is/are;stopwords-original.csv
geweest;DUTCH;been, past participle of 'be';stopwords-original.csv
wollen;GERMAN;want;stopwords-original.csv
fores;PORTUGUESE;;stopwords-new-PT-20110831.csv
forem;PORTUGUESE;;stopwords-original.csv
shan't;ENGLISH;;stopwords-original.csv
houverão;PORTUGUESE;;stopwords-original.csv
otras;SPANISH;other;stopwords-original.csv
kartonger;SWEDISH;;stopwords-new-SW-20111107.csv
alla;SWEDISH;all;stopwords-original.csv
vosotros;SPANISH;you;stopwords-original.csv
par;FRENCH;by;stopwords-original.csv
allt;SWEDISH;all;stopwords-original.csv
eurent;FRENCH;;stopwords-original.csv
zal;DUTCH;'shall', first and third person sing. of verb 'zullen' (will);stopwords-original.csv
there;ENGLISH;;stopwords-original.csv
box;SWEDISH;;stopwords-new-SW-20111107.csv
ἄλλοσ;GREEK;;stopwords-original.csv
vad;SWEDISH;what;stopwords-original.csv
vai;FINNISH;or;stopwords-original.csv
mesma;PORTUGUESE;same;stopwords-new-PT-20110831.csv
tuoksi;FINNISH;that;stopwords-original.csv
hei;PORTUGUESE;;stopwords-original.csv
estarían;SPANISH;;stopwords-original.csv
kuka;FINNISH;who;stopwords-original.csv
estuviese;SPANISH;;stopwords-original.csv
nämä;FINNISH;these;stopwords-original.csv
heb;DUTCH;present first person sing. of 'to have';stopwords-original.csv
estarías;SPANISH;;stopwords-original.csv
mesmo;PORTUGUESE;same;stopwords-original.csv
terão;PORTUGUESE;;stopwords-original.csv
otros;SPANISH;other;stopwords-original.csv
het;DUTCH;the, it;stopwords-original.csv
convosco;PORTUGUESE;with you;stopwords-new-PT-20110831.csv
her;ENGLISH;object and possessive adjective;stopwords-original.csv
αὐτόσ;GREEK;;stopwords-original.csv
kun;FINNISH;when;stopwords-original.csv
icke;SWEDISH;not, no;stopwords-original.csv
itself;ENGLISH;reflexive;stopwords-original.csv
hem;DUTCH;him;stopwords-original.csv
foram;PORTUGUESE;;stopwords-original.csv
houveram;PORTUGUESE;;stopwords-original.csv|stopwords-new-PT-20110831.csv
tive;PORTUGUESE;;stopwords-original.csv
volym;SWEDISH;;stopwords-new-SW-20111107.csv
houveras;PORTUGUESE;;stopwords-new-PT-20110831.csv
zou;DUTCH;should/would, past tense all persons sing. of 'zullen';stopwords-original.csv
foras;PORTUGUESE;;stopwords-new-PT-20110831.csv
fôreis;PORTUGUESE;;stopwords-new-PT-20110831.csv
sitta;SWEDISH;his;stopwords-original.csv
ought;ENGLISH;;stopwords-original.csv
seremos;PORTUGUESE|SPANISH;|;stopwords-original.csv
innehåller;SWEDISH;;stopwords-new-SW-20111107.csv
teríeis;PORTUGUESE;;stopwords-new-PT-20110831.csv
kuin;FINNISH;than;stopwords-original.csv
terás;PORTUGUESE;;stopwords-new-PT-20110831.csv
noihin;FINNISH;those;stopwords-original.csv
houverem;PORTUGUESE;;stopwords-original.csv
ella;SPANISH;she;stopwords-original.csv
houverei;PORTUGUESE;;stopwords-original.csv
teissä;FINNISH;you;stopwords-original.csv
varje;SWEDISH;each;stopwords-original.csv
aquilo;PORTUGUESE;that;stopwords-original.csv
varit;SWEDISH;was;stopwords-original.csv
algunos;SPANISH;some;stopwords-original.csv
elle;FRENCH;she;stopwords-original.csv
unos;SPANISH;a;stopwords-original.csv
éreis;PORTUGUESE;;stopwords-new-PT-20110831.csv
how's;ENGLISH;;stopwords-original.csv
eens;DUTCH;once, one day;stopwords-original.csv
där;SWEDISH;there;stopwords-original.csv
him;ENGLISH;object;stopwords-original.csv
hij;DUTCH;he;stopwords-original.csv
minua;FINNISH;I;stopwords-original.csv
quelles;FRENCH;which;stopwords-original.csv
olivat;FINNISH;;stopwords-original.csv
você;PORTUGUESE;you;stopwords-original.csv
his;ENGLISH;possessive adjective and pronoun;stopwords-original.csv
seríamos;PORTUGUESE|SPANISH;|;stopwords-original.csv
joihin;FINNISH;(pl);stopwords-original.csv
års;SWEDISH;;stopwords-new-SW-20111107.csv
ὅδε;GREEK;;stopwords-original.csv
ἑαυτοῦ;GREEK;;stopwords-original.csv
houvessem;PORTUGUESE;;stopwords-original.csv
houvesses;PORTUGUESE;;stopwords-new-PT-20110831.csv
muitas;PORTUGUESE;many;stopwords-new-PT-20110831.csv
durch;GERMAN;through;stopwords-original.csv
minun;FINNISH;I;stopwords-original.csv
teistä;FINNISH;you;stopwords-original.csv
tiveres;PORTUGUESE;;stopwords-new-PT-20110831.csv
dasselbe;GERMAN;;stopwords-original.csv
siinä;FINNISH;it;stopwords-original.csv
demselben;GERMAN;;stopwords-original.csv
tiverem;PORTUGUESE;;stopwords-original.csv
åren;SWEDISH;;stopwords-new-SW-20111107.csv
zij;DUTCH;she, they;stopwords-original.csv
étaient;FRENCH;;stopwords-original.csv
estuviera;SPANISH;;stopwords-original.csv
keneltä;FINNISH;who;stopwords-original.csv
fusses;FRENCH;;stopwords-original.csv
vår;SWEDISH;our;stopwords-original.csv
your;ENGLISH;possessive adjective;stopwords-original.csv
noiksi;FINNISH;those;stopwords-original.csv
houvermos;PORTUGUESE;;stopwords-original.csv
unse;GERMAN;;stopwords-original.csv
εἰμί;GREEK;;stopwords-original.csv
haveríamos;PORTUGUESE;;stopwords-new-PT-20110831.csv
tiveras;PORTUGUESE;;stopwords-new-PT-20110831.csv
euer;GERMAN;your;stopwords-original.csv
eues;FRENCH;;stopwords-original.csv
por;PORTUGUESE|SPANISH;for|for, by, etc;stopwords-original.csv
yourselves;ENGLISH;reflexive (plural);stopwords-original.csv
houver;PORTUGUESE;;stopwords-original.csv
meistä;FINNISH;we;stopwords-original.csv
seas;SPANISH;;stopwords-original.csv
ὡσ;GREEK;;stopwords-original.csv
εἰ;GREEK;;stopwords-original.csv
às;PORTUGUESE;a + as;stopwords-original.csv
bunt;SWEDISH;;stopwords-new-SW-20111107.csv
eurem;GERMAN;;stopwords-original.csv
eurer;GERMAN;;stopwords-original.csv
sinä;FINNISH;you;stopwords-original.csv
quien;SPANISH;whom, that;stopwords-original.csv
mías;SPANISH;;stopwords-original.csv
meissä;FINNISH;we;stopwords-original.csv
seréis;SPANISH;;stopwords-original.csv
i've;ENGLISH;;stopwords-original.csv
deine;GERMAN;;stopwords-original.csv
anderes;GERMAN;;stopwords-original.csv
anderer;GERMAN;;stopwords-original.csv
kunnen;DUTCH;to be able;stopwords-original.csv
houvestes;PORTUGUESE;;stopwords-new-PT-20110831.csv
anderem;GERMAN;;stopwords-original.csv
anderen;GERMAN;;stopwords-original.csv
poikki;FINNISH;across;stopwords-original.csv
eusses;FRENCH;;stopwords-original.csv
como;PORTUGUESE|SPANISH;as, like|how;stopwords-original.csv
fueran;SPANISH;;stopwords-original.csv
fueras;SPANISH;;stopwords-original.csv
we'll;ENGLISH;;stopwords-original.csv
sonst;GERMAN;else;stopwords-original.csv
agus;IRISH;and;stopwords-new-IE-20110906.csv
they'd;ENGLISH;;stopwords-original.csv
down;ENGLISH;;stopwords-original.csv
qual;PORTUGUESE;which;stopwords-original.csv
tiveram;PORTUGUESE;;stopwords-original.csv|stopwords-new-PT-20110831.csv
con;SPANISH;with;stopwords-original.csv
näiden;FINNISH;these;stopwords-original.csv
com;PORTUGUESE;with;stopwords-original.csv
tivestes;PORTUGUESE;;stopwords-new-PT-20110831.csv
voor;DUTCH;(1) before, in front of, (2) furrow;stopwords-original.csv
estén;SPANISH;;stopwords-original.csv
itse;FINNISH;self;stopwords-original.csv
ellas;SPANISH;they;stopwords-original.csv
estés;SPANISH;;stopwords-original.csv
whom;ENGLISH;;stopwords-original.csv
estoy;SPANISH;;stopwords-original.csv
haveriam;PORTUGUESE;;stopwords-new-PT-20110831.csv
dieser;GERMAN;;stopwords-original.csv
dieses;GERMAN;;stopwords-original.csv
kenellä;FINNISH;who;stopwords-original.csv
tenida;SPANISH;;stopwords-original.csv
tenido;SPANISH;;stopwords-original.csv
haverias;PORTUGUESE;;stopwords-new-PT-20110831.csv
zich;DUTCH;oneself;stopwords-original.csv
﻿μή;GREEK;;stopwords-original.csv
nosotras;SPANISH;we;stopwords-original.csv
seáis;SPANISH;;stopwords-original.csv
estou;PORTUGUESE;;stopwords-original.csv
dort;GERMAN;(over) there;stopwords-original.csv
estos;SPANISH;these;stopwords-original.csv
poucas;PORTUGUESE;few;stopwords-new-PT-20110831.csv
können;GERMAN;can;stopwords-original.csv
δ’;GREEK;;stopwords-original.csv
sitä;FINNISH;it;stopwords-original.csv
einige;GERMAN;;stopwords-original.csv
you;ENGLISH;subject and object;stopwords-original.csv
keneen;FINNISH;who;stopwords-original.csv
diesem;GERMAN;;stopwords-original.csv
niet;DUTCH;not, nothing, naught;stopwords-original.csv
quem;PORTUGUESE;whom;stopwords-original.csv
upp;SWEDISH;up;stopwords-original.csv
quel;FRENCH;which;stopwords-original.csv
diesen;GERMAN;;stopwords-original.csv
noille;FINNISH;those;stopwords-original.csv
soient;FRENCH;;stopwords-original.csv
noilla;FINNISH;those;stopwords-original.csv
estad;SPANISH;;stopwords-original.csv
haverei;PORTUGUESE;;stopwords-new-PT-20110831.csv
estábamos;SPANISH;;stopwords-original.csv
hän;FINNISH;he she;stopwords-original.csv
seja;PORTUGUESE;;stopwords-original.csv
haverão;PORTUGUESE;;stopwords-new-PT-20110831.csv
houveriam;PORTUGUESE;;stopwords-original.csv
här;SWEDISH;here;stopwords-original.csv
lhe;PORTUGUESE;to him, her;stopwords-original.csv
uma;PORTUGUESE;a;stopwords-original.csv
ketkä;FINNISH;(pl);stopwords-original.csv
estas;PORTUGUESE|SPANISH;these|these;stopwords-original.csv
tendréis;SPANISH;;stopwords-original.csv
avez;FRENCH;;stopwords-original.csv
pour;FRENCH;for;stopwords-original.csv
habiendo;SPANISH;;stopwords-original.csv
estivessem;PORTUGUESE;;stopwords-original.csv
estar;SPANISH;to be;stopwords-original.csv
avec;FRENCH;with;stopwords-original.csv
we're;ENGLISH;;stopwords-original.csv
estivesses;PORTUGUESE;;stopwords-new-PT-20110831.csv
jolle;FINNISH;who which;stopwords-original.csv
uno;SPANISH;a;stopwords-original.csv
hão;PORTUGUESE;;stopwords-original.csv
una;SPANISH;a;stopwords-original.csv
une;FRENCH;a;stopwords-original.csv
haverás;PORTUGUESE;;stopwords-new-PT-20110831.csv
aqui;PORTUGUESE;here;stopwords-new-PT-20110831.csv
habíamos;SPANISH;;stopwords-original.csv
naar;DUTCH;(1) unpleasant, unwell etc, (2) towards, (3) as;stopwords-original.csv
ὅτι;GREEK;;stopwords-original.csv
οἱ;GREEK;;stopwords-original.csv
wollte;GERMAN;wanted;stopwords-original.csv
dieselben;GERMAN;;stopwords-original.csv
ces;FRENCH;these;stopwords-original.csv
mistä;FINNISH;which what;stopwords-original.csv
cet;FRENCH;this;stopwords-original.csv
kenelle;FINNISH;who;stopwords-original.csv
houve;PORTUGUESE;;stopwords-original.csv
näillä;FINNISH;these;stopwords-original.csv
atrás;PORTUGUESE;behind;stopwords-new-PT-20110831.csv
henne;SWEDISH;her;stopwords-original.csv
lev;SWEDISH;;stopwords-new-SW-20111107.csv
hás;PORTUGUESE;;stopwords-new-PT-20110831.csv
les;FRENCH|SPANISH;the (pl)|to them;stopwords-original.csv
finns;SWEDISH;;stopwords-new-SW-20111107.csv
siendo;SPANISH;;stopwords-original.csv
οὐ;GREEK;;stopwords-original.csv
wouldn't;ENGLISH;;stopwords-original.csv
